1
46 4787
1402 3476
-3672 -4094
5408 -4854
-4731 10000
114 3639
-3679 7509
-3779 -738
-6053 1669
-152 -3221
735 7517
-8130 9369
-3451 -5483
9003 -753
-7047 -8051
1392 4419
-2106 -742
5164 -7207
1660 7943
-8338 4292
-2070 -9351
-8121 1776
-8962 7972
-360 -1900
4880 -5015
-7499 -6792
-3703 -665
3852 -1908
7339 2846
8517 2854
-2728 -5988
6991 -92
6422 8887
6829 2154
-3555 1803
2452 8491
267 8097
6068 8052
-127 5026
-9990 -571
2637 -5248
7808 -3768
4324 -7345
9222 1659
-5487 5383
-6885 7738
1366 5506
