Case 1: 3388
Case 2: 6
Case 3: 16088
Case 4: 65
Case 5: 19091
Case 6: 4
Case 7: 6
Case 8: 732
Case 9: 4
Case 10: 1606
Case 11: 2
Case 12: 6761
Case 13: 17358
Case 14: 11197
Case 15: 3359
Case 16: 341
Case 17: 4417
Case 18: 451
Case 19: 6
Case 20: 2788
Case 21: 6
Case 22: 12
Case 23: 22
Case 24: 28
Case 25: 111760
Case 26: 12
Case 27: 144
Case 28: 1945
Case 29: 290
Case 30: 74
Case 31: 6
Case 32: 12
Case 33: 4
Case 34: 4
Case 35: 6
Case 36: 1391
Case 37: 4134
Case 38: 53
Case 39: 80881
Case 40: 10
Case 41: 58
Case 42: 6490
Case 43: 210828
Case 44: 6
Case 45: 22
Case 46: 242
Case 47: 22
Case 48: 6
Case 49: 6
Case 50: 6
Case 51: 22
Case 52: 10961
Case 53: 71936
Case 54: 1215
Case 55: 4
Case 56: 14
Case 57: 6611
